Day,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2008-01,ADF (D),774399170,149267000,718129700,1641795870,0.0,0.0,0.0,0.0,2822106,311449,2199353,5332908
2008-01,AMEX (A),0,1034239067,3230300,1037469367,0.0,0.0,0.0,0.0,0,1688650,4222,1692872
2008-01,CBOE (W),105078800,95209500,57537100,257825400,0.0,0.0,0.0,0.0,166517,40857,31961,239335
2008-01,CHX (M),523197430,113056060,177588980,813842470,0.0,0.0,0.0,0.0,519418,38043,195093,752554
2008-01,ISE (I),1732084080,37561340,134313200,1903958620,0.0,0.0,0.0,0.0,10993420,79722,434700,11507842
2008-01,NSX (C),340982570,430924431,1238096320,2010003321,0.0,0.0,0.0,0.0,1500265,1056129,4788251,7344645
2008-01,NSX (DC),1985745526,567121361,1604336723,4157203610,0.0,0.0,0.0,0.0,7025462,1167727,5141426,13334615
2008-01,NYSE (DN),4358645200,1795836100,4256909452,10411390752,0.0,0.0,0.0,0.0,28274830,6110238,22081470,56466538
2008-01,NYSE (N),40393082854,0,0,40393082854,0.0,0.0,0.0,0.0,133308926,0,0,133308926
2008-01,NYSE Arca (P),13697964888,8162709968,9257419142,31118093998,0.0,0.0,0.0,0.0,80003273,20363580,40765197,141132050
2008-01,Nasdaq (DQ),17101559768,4445775770,11677168693,33224504231,0.0,0.0,0.0,0.0,21681719,2681863,13228145,37591727
2008-01,Nasdaq (Q),21815134864,9742998000,28641041890,60199174754,0.0,0.0,0.0,0.0,117857618,25815423,111919841,255592882
2008-01,PHLX (X),107071900,18988100,42639091,168699091,0.0,0.0,0.0,0.0,40417,3717,49152,93286
2008-02,ADF (D),192190525,50031700,156735600,398957825,0.0,0.0,0.0,0.0,718900,105862,522020,1346782
2008-02,AMEX (A),0,756135108,3572300,759707408,0.0,0.0,0.0,0.0,0,1195761,8949,1204710
2008-02,CBOE (W),91458100,69688800,57768200,218915100,0.0,0.0,0.0,0.0,144140,44406,29899,218445
2008-02,CHX (M),417539550,85549946,157752275,660841771,0.0,0.0,0.0,0.0,543430,35412,229388,808230
2008-02,ISE (I),1391204020,20024605,109848200,1521076825,0.0,0.0,0.0,0.0,9110580,30845,272118,9413543
2008-02,NSX (C),1061143626,512690682,1135234542,2709068850,0.0,0.0,0.0,0.0,4875278,1247980,5148766,11272024
2008-02,NSX (DC),1409734462,355161790,1887957119,3652853371,0.0,0.0,0.0,0.0,5441352,830795,5939152,12211299
2008-02,NYSE (DN),3866182600,1553068000,4380509411,9799760011,0.0,0.0,0.0,0.0,25543807,5868210,21946470,53358487
2008-02,NYSE (N),30242981376,0,0,30242981376,0.0,0.0,0.0,0.0,100880323,0,0,100880323
2008-02,NYSE Arca (P),10287313575,5956311900,7485017737,23728643212,0.0,0.0,0.0,0.0,61885018,15709319,33206949,110801286
2008-02,Nasdaq (DQ),12964557320,3214018815,10008910021,26187486156,0.0,0.0,0.0,0.0,17973790,2289495,11595221,31858506
2008-02,Nasdaq (Q),15840898562,7120972337,22435747967,45397618866,0.0,0.0,0.0,0.0,87263268,19451343,87454416,194169027
2008-02,PHLX (X),84100900,11798800,29427543,125327243,0.0,0.0,0.0,0.0,24942,2917,26721,54580
2008-03,ADF (D),389098868,55998500,198323300,643420668,0.0,0.0,0.0,0.0,1299395,137458,616600,2053453
