Month,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2016-01,BATS BYX (Y),3694989312,2150138777,1716110550,7561238639,101959308916.13168,76886351678.47449,57819883564.85211,236665544159.45828,31685996,9578795,15298345,56563136
2016-01,BATS BZX (Z),5680059301,3260491883,3033010164,11973561348,176025883759.22906,197719511821.03076,119717686021.4263,493463081601.686,47138862,14619773,25389674,87148309
2016-01,CHX (M),231443906,441120586,161278472,833842964,7507850222.926301,47692520373.14217,11181814062.3712,66382184658.43968,16038,228623,69110,313771
2016-01,EDGA (J),2157091440,1402266000,1096120679,4655478119,59049961581.53296,60116353095.42378,36902988471.353,156069303148.30972,17822443,6400827,8861490,33084760
2016-01,EDGX (K),5488626976,3603616440,4484050786,13576294202,163248582085.76474,180179605432.9143,165808845521.88287,509237033040.5619,38739725,14380152,29025010,82144887
2016-01,NASDAQ (DQ),27616655170,12818690430,14715628874,55150974474,785487650914.5691,593550442174.6293,530981863403.7455,1910019956492.9438,92475823,24266701,46948608,163691132
2016-01,NASDAQ (Q),11940001051,4191477410,11396667743,27528146204,446002018607.85425,245032812133.33026,480928115361.33466,1171962946102.5195,101935337,18763692,73497025,194196054
2016-01,NASDAQ BX (B),1967417909,1035054236,1030362632,4032834777,61539110663.650856,43973897798.55518,40024785976.04975,145537794438.25577,16953503,4619058,9141396,30713957
2016-01,NASDAQ PSX (X),727234444,500855381,551666849,1779756674,21460501337.32331,26837933495.621,20009161150.8743,68307595983.818596,5426612,2135278,3640992,11202882
2016-01,NSX (C),1323837,75929,567991,1967757,56581845.082200006,3514886.0000000005,31121666.7355,91218397.8177,8848,450,4621,13919
2016-01,NYSE (DN),3793745675,1344900503,1882713350,7021359528,121886896354.7393,56235834711.29688,82864061825.8272,260986792891.86334,14602366,3326617,7252333,25181316
2016-01,NYSE (N),22487460633,0,0,22487460633,740337622576.0055,0.0,0.0,740337622576.0055,79191354,0,0,79191354
2016-01,NYSE Arca (P),6691289733,8478479053,4805989302,19975758088,223471973773.39676,454672088610.1037,203321112581.65005,881465174965.1506,49378333,26333536,35982725,111694594
2016-01,NYSE MKT (A),0,182840028,73444503,256284531,0.0,1162481861.6262999,2138762812.5328999,3301244674.1591997,0,464539,411158,875697
2016-02,BATS BYX (Y),3959644642,2102803559,1688724693,7751172894,109324333314.51804,66106129265.58001,57253388938.98371,232683851519.0818,34207368,8974338,15433739,58615445
2016-02,BATS BZX (Z),5907871930,3095518738,2945992790,11949383458,177806878271.84894,164882475481.1274,116432136392.49438,459121490145.47064,49415356,13756275,25494795,88666426
2016-02,CHX (M),201101494,375355063,160954249,737410806,6960568476.5463,36776127599.072296,10688559285.244,54425255360.86259,12588,171893,65100,249581
2016-02,EDGA (J),2135349338,1285144092,1004378588,4424872018,56696486865.50619,50180199826.19566,34810598200.91559,141687284892.61743,17368245,5654241,8321649,31344135
2016-02,EDGX (K),5502396520,3639389293,4430248046,13572033859,158377733126.73517,151985375356.40552,156036226039.636,466399334522.7766,37292734,13032108,27983544,78308386
2016-02,NASDAQ (DQ),27893122740,13619714742,13973701530,55486539012,780153754212.4077,508473039915.63904,493869270190.3115,1782496064318.3584,93438990,22786207,45574209,161799406
2016-02,NASDAQ (Q),11564655008,3666181357,11111923776,26342760141,420552749662.0587,194856024064.33395,454077759452.8947,1069486533179.2875,97177787,16050889,74243485,187472161
2016-02,NASDAQ BX (B),1644585486,931123907,805935848,3381645241,48669896079.04163,34271532076.99331,31020278073.794975,113961706229.82991,14286734,3739560,7395691,25421985
2016-02,NASDAQ PSX (X),793784259,555373348,573726118,1922883725,22612067154.23321,29641585791.143898,20911630212.79921,73165283158.17632,5712352,2226582,3706167,11645101
2016-02,NSX (C),1854811,149993,1659950,3664754,86527354.7669,6949831.717700001,63090575.38380001,156567761.86839998,13353,772,11195,25320
2016-02,NYSE (DN),3957381132,1420022129,1865020760,7242424021,125062675533.74202,48321887984.591934,81082104947.22887,254466668465.56284,15419900,3283397,7469342,26172639
2016-02,NYSE (N),22730805199,0,0,22730805199,723635041605.6128,0.0,0.0,723635041605.6128,81803539,0,0,81803539
2016-02,NYSE Arca (P),6894629902,8536115381,4527780276,19958525559,231782424085.2087,400155743288.8431,187359666103.07632,819297833477.1279,50870327,24097942,33874362,108842631
2016-02,NYSE MKT (A),0,191754727,88691852,280446579,0.0,1154134195.7297,2627432252.8385,3781566448.5681996,0,450709,470361,921070
2016-03,BATS BYX (Y),3797198457,1926131650,1581573900,7304904007,105306680361.14459,62774090686.0203,53589635957.77199,221670407004.93692,33048631,8522593,14367390,55938614
2016-03,BATS BZX (Z),5490327984,2793376629,2581708396,10865413009,157718580880.5992,143894991386.5228,96778830918.8681,398392403185.9902,44355654,12143214,21877184,78376052
2016-03,CHX (M),256976649,296431760,113578287,666986696,9379565932.031599,23551035851.660698,7292895667.0518,40223497450.744095,12993,109383,37501,159877
2016-03,EDGA (J),2225976060,1096663203,990158114,4312797377,59327255256.605255,44471485729.56312,31569945271.97012,135368686258.1385,18249056,4861867,7877061,30987984
2016-03,EDGX (K),5904081373,3073570675,4035348279,13013000327,156014581626.36566,123223586875.34259,132802370191.44717,412040538693.15533,36292665,10727961,24202336,71222962
2016-03,NASDAQ (DQ),29214313048,12302889871,14177670959,55694873878,795603863661.0236,504093023208.22534,457766847617.2407,1757463734486.49,89978813,21832601,42648873,154460287
2016-03,NASDAQ (Q),10107050347,3006527155,10524661030,23638238532,362182125758.0491,155248325793.41205,422067015752.6044,939497467304.0657,83566697,12522029,64965395,161054121
2016-03,NASDAQ BX (B),1743138708,813824380,778355541,3335318629,54028233578.83643,30335189837.68552,30024921332.901066,114388344749.42303,15340631,3408918,7176244,25925793
2016-03,NASDAQ PSX (X),716073149,510123654,485402123,1711598926,19365910503.872803,25655227793.5523,17655486479.396393,62676624776.821495,5085800,2118570,3247175,10451545
2016-03,NSX (C),4058470,463609,4452734,8974813,121901115.99469998,15876494.609900003,83759178.92670001,221536789.53129995,22921,2339,20088,45348
2016-03,NYSE (DN),3642086441,1216053064,1631897386,6490036891,115143699403.46933,42322491507.59117,64892170597.11012,222358361508.17062,14206925,2969079,6592934,23768938
2016-03,NYSE (N),23200054395,0,0,23200054395,740241219097.3326,0.0,0.0,740241219097.3326,71969250,0,0,71969250
2016-03,NYSE Arca (P),6482882075,8172981437,3822781998,18478645510,212205867492.93857,385871937847.11554,150126340707.41763,748204146047.4717,45760761,22050216,27509269,95320246
2016-03,NYSE MKT (A),0,247810124,73511878,321322002,0.0,1588545389.0180004,2055731086.1799002,3644276475.1978993,0,509756,375402,885158
2016-04,BATS BYX (Y),3217889796,1456633864,1361190400,6035714060,90886070209.88316,50495496832.8009,46133228473.88003,187514795516.56406,27566055,6294000,11883977,45744032
2016-04,BATS BZX (Z),4727018419,2287982184,2339402344,9354402947,143372271531.64297,120507481256.35056,92219747308.4562,356099500096.44977,37847966,9975888,19467227,67291081
2016-04,CHX (M),254381045,244714988,120540158,619636191,10674617390.5619,19811729597.628395,8469860907.154301,38956207895.344604,10762,79499,23721,113982
2016-04,EDGA (J),2008554721,953733904,894409698,3856698323,58627303180.24596,38811866874.87019,30721845555.852467,128161015610.96861,16955749,4240906,7352618,28549273
2016-04,EDGX (K),4990565356,2558050285,3631913621,11180529262,140738818867.43185,113212831286.8313,130841118584.85968,384792768739.12274,31070690,9528264,21976101,62575055
2016-04,NASDAQ (DQ),25996372106,10466223960,13798666798,50261262864,757520300118.3904,442760478302.2,476456094869.1726,1676736873289.7627,82308566,20348321,42261267,144918154
2016-04,NASDAQ (Q),8615557215,2554842541,9278147445,20448547201,332244204133.65027,135511275029.5164,406642270000.0631,874397749163.2299,72080710,11059065,60840178,143979953
2016-04,NASDAQ BX (B),1724444357,704148481,800583655,3229176493,58501146055.554794,27412418450.225098,32641171302.098183,118554735807.87808,15358351,2989566,7270950,25618867
2016-04,NASDAQ PSX (X),662117854,447451922,504630482,1614200258,19095169542.214302,22736581577.232292,17743200894.9864,59574952014.433,4689871,1774422,3193383,9657676
2016-04,NSX (C),9537921,426988,5598874,15563783,124005309.18840002,18868018.786300004,90818175.0747,233691503.04939997,28129,2049,22404,52582
2016-04,NYSE (DN),3040757650,979897700,1551270817,5571926167,104659100504.0961,35839968161.23349,66635000737.99565,207134069403.3253,11818231,2554604,6046757,20419592
2016-04,NYSE (N),20278622746,0,0,20278622746,674556917174.795,0.0,0.0,674556917174.795,65853266,0,0,65853266
2016-04,NYSE Arca (P),5699996949,6992816217,3724741193,16417554359,199216227505.56558,340276299955.69257,155860859820.55267,695353387281.8109,40763452,19233403,26753783,86750638
2016-04,NYSE MKT (A),0,202345603,66357793,268703396,0.0,1249708752.6488,1864609749.534,3114318502.1828003,0,481317,333319,814636
2016-05,BATS BYX (Y),3221853128,1481854673,1394324802,6098032603,87848898219.08772,53436463181.447174,44298194496.31856,185583555896.8535,26967750,6442516,11644050,45054316
2016-05,BATS BZX (Z),4966773856,2311584697,2512341782,9790700335,152754989619.0039,117340802385.94016,94426000296.49777,364521792301.44183,40379012,10356238,20652358,71387608
2016-05,CHX (M),362868754,230790197,122620179,716279130,14929273827.844301,17459960860.0167,9113378477.7649,41502613165.62591,11920,75178,21679,108777
2016-05,EDGA (J),1942590928,931956317,958231075,3832778320,58277306501.43471,37639765169.20589,29666739485.93371,125583811156.57431,16929443,4273061,7667067,28869571
2016-05,EDGX (K),4670272201,2412979629,3486444919,10569696749,135181357575.0449,106862093443.27824,113944945772.57289,355988396790.896,30571199,9483096,20972294,61026589
2016-05,NASDAQ (DQ),24395587056,10416491076,13852477607,48664555739,739191489263.6963,433245172260.1363,457380454941.18976,1629817116465.0227,79367816,19869348,41609060,140846224
2016-05,NASDAQ (Q),8549992559,2547085797,9685436418,20782514774,331114882368.9499,132568324942.07466,400623079322.3657,864306286633.3899,72580730,10991690,62276235,145848655
2016-05,NASDAQ BX (B),1799931618,751708774,863416312,3415056704,61051657311.30728,30093734037.7478,33872809843.567554,125018201192.62265,16035534,3199767,7646347,26881648
2016-05,NASDAQ PSX (X),644935325,456339767,527380627,1628655719,18449840678.4965,24824178408.7489,17428944978.839096,60702964066.084496,4562719,1853557,3343409,9759685
2016-05,NSX (C),3201302,1309237,3300031,7810570,139639685.405,53829755.6344,86429071.51489998,279898512.5543,21250,3217,16941,41408
2016-05,NYSE (DN),2874304006,986470573,1520470300,5381244879,99944428414.19753,37763452815.16961,60916602170.26318,198624483399.6303,11276867,2598380,5920261,19795508
2016-05,NYSE (N),19917470466,0,0,19917470466,679428636675.1647,0.0,0.0,679428636675.1647,65955499,0,0,65955499
2016-05,NYSE Arca (P),5631501784,6979088201,3856622537,16467212522,201772545335.9253,335338871550.2561,151958065311.05698,689069482197.2385,42232990,19701613,27651413,89586016
2016-05,NYSE MKT (A),0,265094445,70321863,335416308,0.0,1324949330.0023003,1895562017.8650002,3220511347.8673005,0,517300,307698,824998
2016-06,BATS BYX (Y),3770130887,1875089757,1638674470,7283895114,105380028617.04462,70854432869.49118,51250650882.6293,227485112369.1651,31476336,8092946,13591754,53161036
2016-06,BATS BZX (Z),5272634267,2893267987,2794151370,10960053624,168630825746.04654,157259099730.17636,105933959290.413,431823884766.63586,42841405,12487903,22527742,77857050
2016-06,CHX (M),203827469,315370234,120606145,639803848,7813119617.713999,25715612569.394302,8308410639.082902,41837142826.19121,12511,104871,28016,145398
2016-06,EDGA (J),2106279682,1206534635,1057517453,4370331770,63668343953.27367,50115813181.54528,32636543370.228294,146420700505.0472,18328751,5684837,8533370,32546958
2016-06,EDGX (K),4763704906,2832757944,3724138853,11320601703,141291026766.11932,136936250594.22696,117492014129.56068,395719291489.9069,31431818,11145064,22071488,64648370
2016-06,NASDAQ (DQ),26658150320,12173156152,15715869005,54547175477,805413986827.2437,562100494415.9227,479630939701.1263,1847145420944.2922,84167084,23680139,44259316,152106539
2016-06,NASDAQ (Q),8915418654,3084940691,11609590684,23609950029,352563725156.2795,178859661940.5294,456047568212.25476,987470955309.0636,75672300,13001564,66092274,154766138
2016-06,NASDAQ BX (B),2120754066,976378897,1059092290,4156225253,72803289518.09953,41202699997.5031,39943208395.58138,153949197911.184,19077305,4043593,9160658,32281556
2016-06,NASDAQ PSX (X),602076285,534960745,564599542,1701636572,18086332201.005203,31449972022.605904,19256806756.562992,68793110980.17412,4340492,2309351,3597155,10246998
2016-06,NSX (C),5046943,4578133,5832762,15457838,239906628.4677,614882866.2961998,109432585.9017,964222080.6655998,30413,10077,24390,64880
2016-06,NYSE (DN),3191485948,1147691419,1839593249,6178770616,112393844285.9454,50124352367.75914,67556814423.89633,230075011077.6009,12958193,3175445,6785387,22919025
2016-06,NYSE (N),23591527894,0,0,23591527894,814095521400.8379,0.0,0.0,814095521400.8379,72347319,0,0,72347319
2016-06,NYSE Arca (P),5855373131,8482999828,4096175397,18434548356,212943573057.1535,427771797177.4535,160623992238.6192,801339362473.2261,43504085,24320949,28929416,96754450
2016-06,NYSE MKT (A),0,434753657,75789419,510543076,0.0,2181339623.8559,1672457391.0730002,3853797014.9289002,0,628947,296771,925718
2016-07,BATS BYX (Y),3059111789,1372783919,1374897245,5806792953,88039499750.45201,51149410617.47068,44805665047.92259,183994575415.84528,25626443,5650769,11454359,42731571
2016-07,BATS BZX (Z),4433068032,2039724066,2483698171,8956490269,148352846367.6567,110066657709.50569,92864018838.45209,351283522915.6145,35781571,8580713,19041166,63403450
2016-07,CHX (M),189760674,214074857,111057347,514892878,11946718639.470303,17247630229.1634,7464155045.6014,36658503914.2351,10782,62737,15094,88613
2016-07,EDGA (J),1695910615,842335246,853714921,3391960782,52044657638.908745,36428711122.735794,28362900566.006905,116836269327.65147,14605118,3913180,6865071,25383369
2016-07,EDGX (K),3749408710,1991808165,3103835866,8845052741,114231922885.03621,93128850574.42513,105478362001.33585,312839135460.7971,24101632,7370184,17899462,49371278
2016-07,NASDAQ (DQ),22475973211,9652755530,13305170200,45433898941,699399574520.4188,436095177014.71027,423198837160.8888,1558693588696.0178,71188488,18420370,37789208,127398066
2016-07,NASDAQ (Q),6920261175,2119759497,8494589600,17534610272,280704372076.76855,122312311594.52621,366500197293.25934,769516880964.5541,57048743,8691648,51724097,117464488
2016-07,NASDAQ BX (B),1749657773,693162214,852001635,3294821622,63520326108.02893,29522590689.220013,34192877566.836834,127235794364.08578,16050426,2787193,7565900,26403519
2016-07,NASDAQ PSX (X),448207203,344676577,423540381,1216424161,13786037304.527607,19229835000.274105,14014331242.214594,47030203547.01628,3291584,1400910,2651523,7344017
2016-07,NSX (C),3803664,2417153,4461970,10682787,177005355.03560004,193331398.4947,108934099.68419999,479270853.2145,21617,6697,20922,49236
2016-07,NYSE (DN),2674213625,933983275,1656665933,5264862833,96726983596.2901,36721021202.06352,60194466143.23876,193642470941.59238,10303005,2497235,5575510,18375750
2016-07,NYSE (N),17516685692,0,0,17516685692,631241082668.6216,0.0,0.0,631241082668.6216,56940209,0,0,56940209
2016-07,NYSE Arca (P),4699951247,6115232668,3385074095,14200258010,179629126669.31476,314568328692.18286,141083738012.52844,635281193374.026,34343759,16144526,23180198,73668483
2016-07,NYSE MKT (A),0,241072978,71673743,312746721,0.0,1353768413.4448001,1569857217.1929998,2923625630.6378,0,535004,272247,807251
2016-08,BATS BYX (Y),3383029788,1394143471,1442076417,6219249676,95789712101.46361,54557137270.64941,47466973131.70587,197813822503.8189,27982581,5777317,12446435,46206333
2016-08,BATS BZX (Z),4808339605,2041942685,2534270344,9384552634,160714888769.2738,110716063981.00711,96315539172.04106,367746491922.322,38318544,8988226,20148014,67454784
2016-08,CHX (M),222967889,227117479,82024809,532110177,17856684453.336105,18807386613.1905,5402389344.390901,42066460410.91752,56279,74584,15185,146048
2016-08,EDGA (J),2144034872,844150830,940539455,3928725157,67564540719.44139,37698932505.05011,30701028824.436478,135964502048.92798,18510667,4071271,7765930,30347868
2016-08,EDGX (K),4480293578,2052815681,3609826260,10142935519,150020894044.60645,98473931975.17293,114124725006.82567,362619551026.605,30263641,7898477,21276479,59438597
2016-08,IEX (V),5919463,1870606,2295364,10085433,197431756.48500004,90016488.4991,67682836.5356,355131081.5197,32734,7816,14283,54833
2016-08,NASDAQ (DQ),24284903590,9399263184,14311428452,47995595226,769977216139.447,417760655954.6475,437433422386.5696,1625171294480.6643,78600858,18876865,41944974,139422697
2016-08,NASDAQ (Q),7216975967,2168343649,9190852100,18576171716,286161130058.627,122465051215.55713,380886876952.0895,789513058226.2734,59265816,9385180,56552453,125203449
2016-08,NASDAQ BX (B),1957674925,677645168,937660997,3572981090,70867710394.75111,29394722406.510307,37666955404.613815,137929388205.87527,18364151,2917923,8904330,30186404
2016-08,NASDAQ PSX (X),470064763,337664459,437699362,1245428584,14280402630.088095,18378835917.303898,14207938105.655504,46867176653.04751,3467319,1453329,2833085,7753733
2016-08,NSX (C),6324143,4054434,6197467,16576044,253109736.98780003,311464113.06259996,144839419.94489998,709413269.9953,43008,14392,26274,83674
2016-08,NYSE (DN),3164891550,1043660447,1905350499,6113902496,105953754390.54424,41359654152.6378,64146647663.28895,211460056206.471,11349536,2646374,6211769,20207679
2016-08,NYSE (N),18313605588,0,0,18313605588,656630779546.2308,0.0,0.0,656630779546.2308,60147014,0,0,60147014
2016-08,NYSE Arca (P),5040763055,6054461997,3290150270,14385375322,190810129381.08334,322539574872.3747,130090584667.8076,643440288921.2656,37378449,16715781,22745120,76839350
2016-08,NYSE MKT (A),0,275490740,61450715,336941455,0.0,1454706506.0122,1479573123.4754002,2934279629.4876003,0,595610,223484,819094
2016-09,BATS BYX (Y),3489429174,1597264751,1528907250,6615601175,99689040447.96855,65036047877.66668,51952725620.19271,216677813945.82797,28896895,6843281,13123623,48863799
2016-09,BATS BZX (Z),4770048762,2468580025,2569897140,9808525927,162055747279.4534,142655752557.35718,105144844896.08824,409856344732.8989,38686553,11106781,20812476,70605810
2016-09,CHX (M),558489551,282853447,116341664,957684662,39054112595.8973,24292959417.09849,8437778261.0522,71784850274.048,40967,97435,18151,156553
2016-09,EDGA (J),1956708443,1006044845,968250722,3931004010,59125682994.412,45861136860.98847,32698583988.14789,137685403843.54837,16713933,4837339,7956622,29507894
2016-09,EDGX (K),4348859756,2566628413,3670787816,10586275985,149661932894.43497,129360343720.60689,125513757991.55261,404536034606.59436,30167665,9972004,21375636,61515305
2016-09,IEX (V),1237265561,322951909,609775032,2169992502,48319711517.30362,16205109745.659502,27663062340.894096,92187883603.85722,7224949,1214477,3577833,12017259
2016-09,NASDAQ (DQ),23206568741,10548132771,14221693192,47976394704,748595464137.99,502038481487.83734,471399526155.65985,1722033471781.4875,73748951,20592927,41014075,135355953
2016-09,NASDAQ (Q),7445288737,2737037613,10126730983,20309057333,297291070436.97906,161818976721.97595,441803224980.02484,900913272138.98,61122858,11879595,57782637,130785090
2016-09,NASDAQ BX (B),2055184357,776605122,1028207855,3859997334,75140193559.00183,34995271797.145004,41680019056.2936,151815484412.44043,19398138,3435314,9705668,32539120
2016-09,NASDAQ PSX (X),487345036,424370338,471936381,1383651755,15472992636.2949,25870112558.50759,16846100234.000002,58189205428.802505,3571083,1794240,3052903,8418226
2016-09,NSX (C),8885425,7158532,5841342,21885299,307941797.45110005,824099806.7709,260554642.67829996,1392596246.9003,54356,23776,31827,109959
2016-09,NYSE (DN),2174240326,978644101,1505597034,4658481461,63727955497.28549,38684615749.56649,49042640888.12186,151455212134.97388,5440432,2053026,3555697,11049155
2016-09,NYSE (N),20079419746,0,0,20079419746,726372990328.5754,0.0,0.0,726372990328.5754,61425445,0,0,61425445
2016-09,NYSE Arca (P),4960712238,7348374488,3259564698,15568651424,189456270462.0827,405024990814.5851,139841098855.10858,734322360131.7765,37263049,20849793,22483457,80596299
2016-09,NYSE MKT (A),0,386512563,61043396,447555959,0.0,1942084357.605201,1164680619.0630002,3106764976.668201,0,644352,215147,859499
2016-10,ADF (D),0,0,1000,1000,0.0,0.0,68560.0,68560.0,0,0,1,1
2016-10,BATS BYX (Y),3318540685,1266937497,1363522366,5949000548,93980470924.58806,50189006603.924835,47016358846.545074,191185836375.05798,27169874,5817245,12056675,45043794
2016-10,BATS BZX (Z),4338417525,1975502078,2132003192,8445922795,148881064692.62537,107294223493.70712,88944617107.39755,345119905293.7301,34580414,9118281,17239678,60938373
2016-10,CHX (M),219834791,260510221,78408153,558753165,11880052600.6118,25770313838.234097,6315383984.452899,43965750423.298805,57139,111612,23899,192650
2016-10,EDGA (J),1836062695,767966040,820122727,3424151462,56680210614.94852,34160326251.386696,29332781302.098602,120173318168.4338,15388518,3710058,6873595,25972171
2016-10,EDGX (K),4119253579,2071556120,3156088395,9346898094,142662520990.37622,100920168869.86497,118615288651.54507,362197978511.7862,28345337,8466905,19576663,56388905
2016-10,IEX (V),1488528354,299968815,629250219,2417747388,57386712352.85181,15006903336.8233,29196126291.89089,101589741981.566,8641547,1211874,3887003,13740424
2016-10,NASDAQ (DQ),23409702569,9317985426,12713926307,45441614302,750269498141.8699,411860303547.235,440741667062.70996,1602871468751.8147,72540521,18334934,37555958,128431413
2016-10,NASDAQ (Q),7099353769,2224903855,8388057354,17712314978,288213639138.3335,127501363534.79448,384205718989.9829,799920721663.1107,58806937,9798234,52403295,121008466
2016-10,NASDAQ BX (B),1934786471,632337111,953480100,3520603682,71362566123.87946,27808048461.08479,39194340239.2959,138364954824.26013,18469941,2901081,9323965,30694987
2016-10,NASDAQ PSX (X),481542426,372135060,415586360,1269263846,15171435262.932997,20581561539.187103,15364799508.4632,51117796310.583305,3502502,1556600,2828740,7887842
2016-10,NSX (C),8292978,4505195,4437247,17235420,300970910.51229995,444729353.97720003,172811629.92109996,918511894.4105998,54045,17699,28578,100322
2016-10,NYSE (DN),1988857826,805541247,1202584026,3996983099,64217851886.86598,34240952180.441616,46558711047.892624,145017515115.2002,5218580,1707983,3104332,10030895
2016-10,NYSE (N),17834070720,0,0,17834070720,642112980512.4261,0.0,0.0,642112980512.4261,56744649,0,0,56744649
2016-10,NYSE Arca (P),4838403135,5922918966,2822035547,13583357648,187943703154.218,315231627092.5952,130331065336.94293,633506395583.7562,35482438,16844584,19968108,72295130
2016-10,NYSE MKT (A),0,208324688,29033454,237358142,0.0,1393760045.9384,696488514.9389999,2090248560.8774002,0,549020,110956,659976
2016-11,BATS BYX (Y),4015894958,1762547523,1718245041,7496687522,112134105721.62376,69704516675.43182,56412135912.445206,238250758309.5008,34071604,8025939,15987923,58085466
